Ticker,TickerType,Company,Traded,Transaction,Trade_Size_USD,Status,Subholding,Description,Name,Filed,Party,District,Chamber,Comments,Quiver_Upload_Time,excess_return,State,last_modified
NGL,ST,NGL ENERGY PARTNERS LP COMMON UNITS REPRESENTING LIMITED PARTNER INTERESTS,"Monday, March 11, 2024",Sale,"$15,001 - $50,000",NEW, EQUITABLE RETIREMENT ACCOUNT,,Mark Dr Green,2024-03-13,R, TN07,House,,2024-03-14,1.52329606923909,Tennessee,2024-03-14
FCX,ST,"FREEPORT-MCMORAN, INC. COMMON STOCK","Thursday, February 29, 2024",Sale,"$1,001 - $15,000",NEW, MORGAN STANLEY - SELECT UMA ACCOUNT # 1,,Josh Gottheimer,2024-03-07,D, NJ05,House,,2024-03-08,17.3250323613532,New Jersey,2024-03-08
V,ST,VISA INC.,"Thursday, February 29, 2024",Purchase,"$1,001 - $15,000",NEW, TRUST ONE,,Pete Sessions,2024-03-07,R, TX17,House,,2024-03-08,-0.518104996297745,Texas,2024-03-08
APPLE INC. (XNAS:AAPL),ST,APPLE INC. - COMMON STOCK,"Thursday, February 29, 2024",Purchase,$360.00,NEW, IRA ONE,,Pete Sessions,2024-02-29,R, TX17,House,,2024-03-01,-5.15755309266949,Texas,2024-03-01
MSFT,ST,MICROSOFT CORPORATION - COMMON STOCK,"Thursday, February 29, 2024",Sale,"$100,001 - $250,000",NEW,,VESTED SHARES SOLD TO SEPARATE TRUST NOT FOR THE BENEFIT OF FILER OR SPOUSE PURSUANT TO FORWARD CONTRACT DATED,Suzan K. Delbene,2024-03-08,D, WA01,House,,2024-03-11,0.0124542222085308,Washington,2024-03-11
BA,ST,BOEING COMPANY,"Wednesday, February 28, 2024",Sale,"$1,001 - $15,000",NEW, BILL'S IRA,,William R. Keating,2024-03-12,D, MA09,House,,2024-03-13,-12.8530481325404,Massachusetts,2024-03-13
URI,ST,"UNITED RENTALS, INC. COMMON STOCK","Wednesday, February 28, 2024",Sale,"$1,001 - $15,000",NEW, BILL'S IRA,,William R. Keating,2024-03-12,D, MA09,House,,2024-03-13,-2.57801107114428,Massachusetts,2024-03-13
TDG,ST,TRANSDIGM GROUP INCORPORATED COMMON STOCK,"Wednesday, February 28, 2024",Purchase,"$1,001 - $15,000",NEW, BILL'S IRA,,William R. Keating,2024-03-12,D, MA09,House,,2024-03-13,-1.0147272474767,Massachusetts,2024-03-13
DUK$A,ST,"DUKE ENERGY CORPORATION DEPOSITARY SHARES, EACH REPRESENTING A 1/1,000TH INTEREST IN A SHARE OF 5.75% SERIES A CUMULATIVE REDEEMABLE PERPETUAL PREFERRED STOCK","Wednesday, February 28, 2024",Sale,"$50,001 - $100,000",NEW,,,Virginia Foxx,2024-03-07,R, NC05,House,,2024-03-08,,North Carolina,2024-03-08
ZTS,Stock,Zoetis Inc Cl A,"Tuesday, February 27, 2024",Purchase,"$15,001 - $50,000",New,,,"Capito, Shelley Moore",2024-03-15,R,,Senate,,2024-03-15,-14.157075053977,West Virginia,2024-03-15
