Name,Ticker,Transaction,traded_date,excess_return_90d
Daniel Goldman,OPEN,Purchase,2023-04-10,135.54607367087695
Pete Sessions,NVDA,Purchase,2023-12-06,77.28453739874321
Daniel Goldman,NVDA,Purchase,2023-03-01,70.28460316460551
Josh Gottheimer,ARQT,Sale,2023-09-15,68.75158653075685
Josh Gottheimer,NVDA,Purchase,2023-02-27,65.07095313311014
Jonathan Jackson,NVDA,Purchase,2023-04-14,62.82495700739985
Josh Gottheimer,META,Purchase,2023-01-31,61.0020392030546
Morgan Mcgarvey,NVDA,Purchase,2023-03-07,60.99244480915347
Josh Gottheimer,NVDA,Purchase,2023-03-06,60.736100337716856
Josh Gottheimer,ADYEY,Purchase,2023-10-16,59.00304995685852
