Ticker,TickerType,Company,Traded,Transaction,Trade_Size_USD,Status,Subholding,Description,Name,Filed,Party,District,Chamber,Comments,Quiver_Upload_Time,excess_return,State,last_modified,traded_date,filed_date,ticker_clean,excess_return_30d,excess_return_90d,good_trade_30d,good_trade_90d
DVN,ST,DEVON ENERGY CORPORATION,"Friday, December 29, 2023",Purchase,"$1,001 - $15,000",NEW, HERN FAMILY FOUNDATION,DIVIDEND REINVESTMENT,Kevin Hern,2024-01-13,R, OK01,House,,2024-01-15,-2.48160917448996,Oklahoma,2024-01-15,2023-12-29,2024-01-13,DVN,-8.899569900442161,0.6146154535984216,False,True
TFC,Stock,Truist Financial Corp,"Friday, December 29, 2023",Sale (Partial),"$15,001 - $50,000",New,,,"Capito, Shelley Moore",2024-01-12,R,,Senate,,2024-01-12,-13.1826536139916,West Virginia,2024-01-12,2023-12-29,2024-01-12,TFC,0.14556392412843344,4.578378384938464,True,True
NOC,ST,NORTHROP GRUMMAN CORPORATION,"Friday, December 29, 2023",Purchase,"$15,001 - $50,000",NEW, MORGAN STANLEY - SELECT UMA ACCOUNT # 1,,Josh Gottheimer,2024-01-07,D, NJ05,House,,2024-01-09,-8.96799826716624,New Jersey,2024-01-09,2023-12-29,2024-01-07,NOC,-9.686612452283772,-7.910825423155221,False,False
SCHW,ST,CHARLES SCHWAB CORPORATION,"Friday, December 29, 2023",Sale,"$50,001 - $100,000",NEW, HILL 2012 TRUST (FORMERLY JAY F HILL TRUST),,James French Hill,2024-01-10,R, AR02,House,,2024-01-11,-10.1611615129057,Arkansas,2024-01-11,2023-12-29,2024-01-10,SCHW,10.378543145410147,5.012675166821157,True,True
PYPL,ST,"PAYPAL HOLDINGS, INC.","Friday, December 29, 2023",Sale,"$15,001 - $50,000",NEW, HILL 2012 TRUST (FORMERLY JAY F HILL TRUST),,James French Hill,2024-01-10,R, AR02,House,,2024-01-11,-5.25812700977575,Arkansas,2024-01-11,2023-12-29,2024-01-10,PYPL,-0.5121523023867702,1.0715492229016244,False,True
LMT,ST,LOCKHEED MARTIN CORPORATION,"Friday, December 29, 2023",Purchase,"$1,001 - $15,000",NEW, HERN FAMILY REVOCABLE TRUST > BROKERAGE INVESTMENT ACCOUNT,DIVIDEND REINVESTMENT,Kevin Hern,2024-01-13,R, OK01,House,,2024-01-15,-11.4464603329774,Oklahoma,2024-01-15,2023-12-29,2024-01-13,LMT,-8.88116658785365,-9.798380066619528,False,False
DVN,ST,DEVON ENERGY CORPORATION,"Friday, December 29, 2023",Purchase,"$15,001 - $50,000",NEW, HERN FAMILY REVOCABLE TRUST > BROKERAGE INVESTMENT ACCOUNT,DIVIDEND REINVESTMENT,Kevin Hern,2024-01-13,R, OK01,House,,2024-01-15,-2.48160917448996,Oklahoma,2024-01-15,2023-12-29,2024-01-13,DVN,-8.899569900442161,0.6146154535984216,False,True
BBY,ST,"BEST BUY CO., INC.","Thursday, December 28, 2023",Sale,"$1,001 - $15,000",NEW, MORGAN STANLEY ACTIVE ASSETS (6),,Jared Moskowitz,2024-01-22,D, FL23,House,,2024-01-23,-7.87636486927082,Florida,2024-01-23,2023-12-28,2024-01-22,BBY,9.548189591752642,5.37797893415497,True,True
DIS,ST,WALT DISNEY COMPANY,"Thursday, December 28, 2023",Sale,"$1,001 - $15,000",NEW, MORGAN STANLEY ACTIVE ASSETS (6),,Jared Moskowitz,2024-01-22,D, FL23,House,,2024-01-23,16.5229260156624,Florida,2024-01-23,2023-12-28,2024-01-22,DIS,-4.820348304977062,-24.103287780219173,False,False
ROP,ST,"ROPER TECHNOLOGIES, INC.","Thursday, December 28, 2023",Purchase,"$1,001 - $15,000",NEW, MORGAN STANLEY ACTIVE ASSETS (5),,Jared Moskowitz,2024-01-22,D, FL23,House,,2024-01-23,-7.09584970237676,Florida,2024-01-23,2023-12-28,2024-01-22,ROP,-1.231856920907215,-7.338361771312263,False,False
